volume	gran_raw_g1
0.000000	0.000000
0.020000	0.000002
0.040000	0.000005
0.090000	0.000009
0.215000	0.000018
0.382500	0.000024
0.582500	0.000028
0.782500	0.000028
0.982500	0.000028
1.182500	0.000028
1.382500	0.000026
1.582500	0.000025
1.782500	0.000023
1.982500	0.000021
2.182500	0.000020
2.382500	0.000018
2.582500	0.000016
2.782500	0.000014
2.982500	0.000012
3.182500	0.000010
3.382500	0.000008
3.582500	0.000006
3.703000	0.000004
3.811500	0.000003
3.879000	0.000002
3.937000	0.000002
3.969000	0.000001
3.989000	0.000001
4.039000	0.000000
4.059000	0.000000
4.079000	0.000000
4.099000	0.000000
4.119000	0.000000
4.141500	0.000000
4.164500	0.000000
4.199500	0.000000
4.238500	0.000000
4.296500	0.000000
4.371000	0.000000
4.481500	0.000000
4.617500	0.000000
