0 179.3
2 80.8
2.02 86
2.04 85.5
2.06 85.1
2.08 84.6
2.1 84.4
2.12 83.8
2.14 83.3
2.16 83
2.18 82.6
2.2 82.2
2.22 81.8
2.24 81.5
2.26 80.9
2.28 80.5
2.3 80.1
2.32 79.6
2.34 79.2
2.36 78.9
2.38 78.5
2.4 78.2
2.42 77.7
2.44 77.3
2.46 76.8
2.48 76.6
2.5 76.2
2.52 75.7
2.54 75.4
2.56 74.9
2.58 74.5
2.6 74
2.62 73.7
2.64 73.3
2.66 72.8
2.68 72.4
2.7 72
2.72 71.7
2.74 71.6
2.76 70.8
2.78 70.3
2.8 70
2.82 69.7
2.84 69.2
2.86 68.8
2.88 68.4
2.9 67.9
2.92 67.6
2.94 67.2
2.96 66.8
2.98 66.3
3 66
3.02 65.5
3.04 64.9
3.06 64.7
3.08 64.2
3.1 63.7
3.12 63.4
3.14 62.9
3.16 62.5
3.18 62
3.2 61.6
3.22 61.1
3.24 60.7
3.26 60.2
3.28 59.8
3.3 59.4
3.32 58.9
3.34 58.4
3.36 58
3.38 57.5
3.4 57
3.42 56.5
3.44 56.2
3.46 55.7
3.48 55.1
3.5 54.7
3.52 54.2
3.54 53.7
3.56 53.2
3.58 52.6
3.6 52.3
3.62 51.6
3.64 51.1
3.66 50.6
3.68 50.1
3.7 49.5
3.72 49
3.74 48.4
3.76 48
3.78 47.5
3.8 46.8
3.82 46.2
3.84 45.7
3.86 45.1
3.88 44.6
3.9 43.9
3.92 43.4
3.94 42.8
3.96 42.2
3.98 41.5
4 40.8
4.02 40.2
4.04 39.5
4.06 38.8
4.08 38.3
4.1 37.5
4.12 36.8
4.14 36.3
4.16 35.4
4.18 34.7
4.2 33.9
4.22 33.2
4.24 32.3
4.26 31.5
4.28 30.7
4.3 29.8
4.32 29
4.34 28
4.36 27.2
4.38 26.2
4.4 25.3
4.42 24.2
4.44 23.2
4.46 22.2
4.48 21.4
4.5 20.1
4.52 18.7
4.54 17.5
4.56 16.2
4.58 14.8
4.6 13.5
4.62 12.1
4.64 10.7
4.66 8.9
4.68 7.4
4.7 5.6
4.72 3.5
4.74 1.3
4.76 -0.6
4.78 -3.1
4.8 -5.7
4.82 -8.4
4.84 -11.4
4.86 -15.5
4.88 -19.2
4.9 -24.3
4.92 -29
4.94 -36.6
4.96 -45.6
4.98 -57.6
5 -77.4
5.02 -115.7
5.04 -140
5.06 -153.2
5.08 -162.6
5.1 -169.5
5.12 -174.9
5.14 -179.3
5.16 -183
5.18 -186.1
5.2 -188.7
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
